inst#,    actual, predicted, error, probability distribution
 13606          ?        2:1      +   0.193 *0.807
 13607          ?        1:0      +  *0.923  0.077
 13608          ?        1:0      +  *0.999  0.001
 13609          ?        1:0      +  *0.999  0.001
 13610          ?        2:1      +   0.118 *0.882
 13611          ?        1:0      +  *0.999  0.001
 13612          ?        2:1      +   0.118 *0.882
 13613          ?        2:1      +   0.118 *0.882
 13614          ?        2:1      +   0.193 *0.807
 13615          ?        2:1      +   0.193 *0.807
 13616          ?        2:1      +   0.118 *0.882
 13617          ?        1:0      +  *0.999  0.001
 13618          ?        2:1      +   0.118 *0.882
 13619          ?        2:1      +   0.193 *0.807
 13620          ?        2:1      +   0.193 *0.807
 13621          ?        2:1      +   0.118 *0.882
 13622          ?        2:1      +   0.193 *0.807
 13623          ?        1:0      +  *1      0    
 13624          ?        2:1      +   0.118 *0.882
 13625          ?        1:0      +  *0.999  0.001
 13626          ?        2:1      +   0.193 *0.807
 13627          ?        2:1      +   0.118 *0.882
 13628          ?        2:1      +   0.118 *0.882
 13629          ?        2:1      +   0.193 *0.807
 13630          ?        2:1      +   0.193 *0.807
 13631          ?        1:0      +  *1      0    
 13632          ?        1:0      +  *0.999  0.001
 13633          ?        2:1      +   0.193 *0.807
 13634          ?        1:0      +  *1      0    
 13635          ?        2:1      +   0.193 *0.807
 13636          ?        2:1      +   0.118 *0.882
 13637          ?        2:1      +   0.118 *0.882
 13638          ?        1:0      +  *1      0    
 13639          ?        1:0      +  *0.999  0.001
 13640          ?        1:0      +  *0.923  0.077
 13641          ?        1:0      +  *0.999  0.001
 13642          ?        2:1      +   0.193 *0.807
 13643          ?        2:1      +   0.193 *0.807
 13644          ?        2:1      +   0.118 *0.882
 13645          ?        2:1      +   0.193 *0.807
 13646          ?        1:0      +  *1      0    
 13647          ?        1:0      +  *0.999  0.001
 13648          ?        1:0      +  *1      0    
 13649          ?        2:1      +   0.193 *0.807
 13650          ?        2:1      +   0.193 *0.807
 13651          ?        1:0      +  *0.999  0.001
 13652          ?        2:1      +   0.193 *0.807
 13653          ?        2:1      +   0.118 *0.882
 13654          ?        1:0      +  *0.999  0.001
 13655          ?        1:0      +  *0.923  0.077
 13656          ?        2:1      +   0.118 *0.882
 13657          ?        2:1      +   0.118 *0.882
 13658          ?        1:0      +  *0.999  0.001
 13659          ?        2:1      +   0.193 *0.807
 13660          ?        2:1      +   0.193 *0.807
 13661          ?        2:1      +   0.193 *0.807
 13662          ?        1:0      +  *0.999  0.001
 13663          ?        1:0      +  *0.999  0.001
 13664          ?        2:1      +   0.118 *0.882
 13665          ?        1:0      +  *0.999  0.001
 13666          ?        2:1      +   0.193 *0.807
 13667          ?        1:0      +  *1      0    
 13668          ?        2:1      +   0.193 *0.807
 13669          ?        2:1      +   0.193 *0.807
 13670          ?        2:1      +   0.193 *0.807
 13671          ?        1:0      +  *1      0    
 13672          ?        2:1      +   0.118 *0.882
 13673          ?        2:1      +   0.118 *0.882
 13674          ?        2:1      +   0.118 *0.882
 13675          ?        1:0      +  *0.999  0.001
 13676          ?        2:1      +   0.193 *0.807
 13677          ?        2:1      +   0.193 *0.807
 13678          ?        2:1      +   0.193 *0.807
 13679          ?        2:1      +   0.193 *0.807
 13680          ?        2:1      +   0.193 *0.807
 13681          ?        2:1      +   0.118 *0.882
 13682          ?        1:0      +  *0.999  0.001
 13683          ?        1:0      +  *0.999  0.001
 13684          ?        2:1      +   0.193 *0.807
 13685          ?        1:0      +  *0.999  0.001
 13686          ?        2:1      +   0.118 *0.882
 13687          ?        1:0      +  *1      0    
 13688          ?        1:0      +  *0.999  0.001
 13689          ?        2:1      +   0.193 *0.807
 13690          ?        2:1      +   0.118 *0.882
 13691          ?        2:1      +   0.193 *0.807
 13692          ?        1:0      +  *1      0    
 13693          ?        2:1      +   0.193 *0.807
 13694          ?        2:1      +   0.118 *0.882
 13695          ?        1:0      +  *0.999  0.001
 13696          ?        1:0      +  *0.999  0.001
 13697          ?        2:1      +   0.193 *0.807
 13698          ?        2:1      +   0.118 *0.882
 13699          ?        2:1      +   0.193 *0.807
 13700          ?        1:0      +  *0.999  0.001
 13701          ?        1:0      +  *0.999  0.001
 13702          ?        2:1      +   0.118 *0.882
 13703          ?        2:1      +   0.193 *0.807
 13704          ?        1:0      +  *1      0    
 13705          ?        2:1      +   0.118 *0.882
 13706          ?        2:1      +   0.193 *0.807
 13707          ?        2:1      +   0.193 *0.807
 13708          ?        2:1      +   0.118 *0.882
 13709          ?        2:1      +   0.118 *0.882
 13710          ?        1:0      +  *0.999  0.001
 13711          ?        2:1      +   0.193 *0.807
 13712          ?        2:1      +   0.193 *0.807
 13713          ?        1:0      +  *1      0    
 13714          ?        2:1      +   0.193 *0.807
 13715          ?        2:1      +   0.118 *0.882
 13716          ?        2:1      +   0.118 *0.882
 13717          ?        2:1      +   0.118 *0.882
 13718          ?        1:0      +  *0.999  0.001
 13719          ?        2:1      +   0.118 *0.882
 13720          ?        2:1      +   0.118 *0.882
 13721          ?        2:1      +   0.118 *0.882
 13722          ?        2:1      +   0.193 *0.807
 13723          ?        1:0      +  *0.999  0.001
 13724          ?        1:0      +  *0.955  0.045
 13725          ?        1:0      +  *0.999  0.001
 13726          ?        2:1      +   0.193 *0.807
 13727          ?        2:1      +   0.118 *0.882
 13728          ?        1:0      +  *1      0    
 13729          ?        2:1      +   0.193 *0.807
 13730          ?        1:0      +  *1      0    
 13731          ?        2:1      +   0.118 *0.882
 13732          ?        2:1      +   0.118 *0.882
 13733          ?        1:0      +  *0.999  0.001
 13734          ?        1:0      +  *0.999  0.001
 13735          ?        1:0      +  *1      0    
 13736          ?        2:1      +   0.193 *0.807
 13737          ?        2:1      +   0.193 *0.807
 13738          ?        1:0      +  *1      0    
 13739          ?        2:1      +   0.193 *0.807
 13740          ?        1:0      +  *0.999  0.001
 13741          ?        1:0      +  *0.999  0.001
 13742          ?        2:1      +   0.193 *0.807
 13743          ?        2:1      +   0.193 *0.807
 13744          ?        1:0      +  *0.999  0.001
 13745          ?        2:1      +   0.193 *0.807
 13746          ?        1:0      +  *0.999  0.001
 13747          ?        2:1      +   0.118 *0.882
 13748          ?        2:1      +   0.193 *0.807
 13749          ?        2:1      +   0.118 *0.882
 13750          ?        1:0      +  *0.999  0.001
 13751          ?        2:1      +   0.118 *0.882
 13752          ?        1:0      +  *0.999  0.001
 13753          ?        2:1      +   0.193 *0.807
 13754          ?        1:0      +  *0.999  0.001
 13755          ?        1:0      +  *0.999  0.001
 13756          ?        1:0      +  *0.999  0.001
 13757          ?        1:0      +  *0.999  0.001
 13758          ?        2:1      +   0.193 *0.807
 13759          ?        2:1      +   0.193 *0.807
 13760          ?        2:1      +   0.193 *0.807
 13761          ?        1:0      +  *0.999  0.001
 13762          ?        1:0      +  *0.999  0.001
 13763          ?        1:0      +  *0.999  0.001
 13764          ?        2:1      +   0.193 *0.807
 13765          ?        1:0      +  *1      0    
 13766          ?        1:0      +  *0.999  0.001
 13767          ?        2:1      +   0.193 *0.807
 13768          ?        2:1      +   0.193 *0.807
 13769          ?        2:1      +   0.193 *0.807
 13770          ?        2:1      +   0.118 *0.882
 13771          ?        2:1      +   0.193 *0.807
 13772          ?        1:0      +  *0.999  0.001
 13773          ?        1:0      +  *0.999  0.001
 13774          ?        2:1      +   0.118 *0.882
 13775          ?        2:1      +   0.193 *0.807
 13776          ?        2:1      +   0.118 *0.882
 13777          ?        1:0      +  *1      0    
 13778          ?        2:1      +   0.118 *0.882
 13779          ?        2:1      +   0.193 *0.807
 13780          ?        2:1      +   0.193 *0.807
 13781          ?        2:1      +   0.193 *0.807
 13782          ?        1:0      +  *0.999  0.001
 13783          ?        2:1      +   0.118 *0.882
 13784          ?        2:1      +   0.193 *0.807
 13785          ?        2:1      +   0.118 *0.882
 13786          ?        2:1      +   0.193 *0.807
 13787          ?        1:0      +  *0.999  0.001
 13788          ?        1:0      +  *1      0    
 13789          ?        2:1      +   0.118 *0.882
 13790          ?        1:0      +  *0.999  0.001
 13791          ?        1:0      +  *0.999  0.001
 13792          ?        1:0      +  *0.999  0.001
 13793          ?        2:1      +   0.193 *0.807
 13794          ?        1:0      +  *0.999  0.001
 13795          ?        2:1      +   0.193 *0.807
 13796          ?        2:1      +   0.193 *0.807
 13797          ?        1:0      +  *0.999  0.001
 13798          ?        2:1      +   0.193 *0.807
 13799          ?        1:0      +  *0.999  0.001
 13800          ?        2:1      +   0.193 *0.807
 13801          ?        2:1      +   0.118 *0.882
 13802          ?        1:0      +  *1      0    
 13803          ?        2:1      +   0.118 *0.882
 13804          ?        2:1      +   0.193 *0.807
 13805          ?        1:0      +  *0.999  0.001
 13806          ?        2:1      +   0.193 *0.807
 13807          ?        2:1      +   0.193 *0.807
 13808          ?        1:0      +  *0.999  0.001
 13809          ?        2:1      +   0.118 *0.882
 13810          ?        2:1      +   0.118 *0.882
 13811          ?        2:1      +   0.193 *0.807
 13812          ?        1:0      +  *0.999  0.001
 13813          ?        1:0      +  *1      0    
 13814          ?        2:1      +   0.118 *0.882
 13815          ?        2:1      +   0.193 *0.807
 13816          ?        2:1      +   0.193 *0.807
 13817          ?        1:0      +  *0.999  0.001
 13818          ?        1:0      +  *0.999  0.001
 13819          ?        2:1      +   0.193 *0.807
 13820          ?        2:1      +   0.118 *0.882
 13821          ?        2:1      +   0.118 *0.882
 13822          ?        1:0      +  *0.999  0.001
 13823          ?        1:0      +  *0.999  0.001
 13824          ?        1:0      +  *0.999  0.001
 13825          ?        2:1      +   0.118 *0.882
 13826          ?        2:1      +   0.118 *0.882
 13827          ?        2:1      +   0.193 *0.807
 13828          ?        2:1      +   0.118 *0.882
 13829          ?        2:1      +   0.193 *0.807
 13830          ?        2:1      +   0.193 *0.807
 13831          ?        1:0      +  *1      0    
 13832          ?        1:0      +  *0.999  0.001
 13833          ?        2:1      +   0.193 *0.807
 13834          ?        2:1      +   0.193 *0.807
 13835          ?        2:1      +   0.193 *0.807
 13836          ?        2:1      +   0.118 *0.882
 13837          ?        1:0      +  *0.955  0.045
 13838          ?        1:0      +  *0.923  0.077
 13839          ?        1:0      +  *0.999  0.001
 13840          ?        2:1      +   0.193 *0.807
 13841          ?        2:1      +   0.193 *0.807
 13842          ?        2:1      +   0.193 *0.807
 13843          ?        2:1      +   0.118 *0.882
 13844          ?        2:1      +   0.118 *0.882
 13845          ?        1:0      +  *0.999  0.001
